City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,76.44,49,69,7.76,broken clouds
138,Pozo Colorado,PY,-23.4923,-58.7972,77.29,39,52,6.55,broken clouds
139,Salinopolis,BR,-0.6136,-47.3561,78.67,81,25,9.08,scattered clouds
140,Kushalgarh,IN,23.199,74.4507,75.2,97,100,13.31,overcast clouds
141,Panguipulli,CL,-39.6333,-72.3333,37.33,97,38,2.75,scattered clouds
142,Rabo De Peixe,PT,37.8,-25.5833,67.51,88,75,4.61,light intensity drizzle
143,Shchigry,RU,51.8755,36.9043,60.62,64,60,4.23,broken clouds
144,Juneau,US,58.3019,-134.4197,59.85,85,90,2.73,light rain
145,Amga,RU,60.8953,131.9608,76.05,39,0,7.29,clear sky
146,Byron Bay,AU,-28.65,153.6167,69.06,33,34,0.92,scattered clouds
147,Chuy,UY,-33.6971,-53.4616,58.37,97,3,4.9,clear sky
148,Carnarvon,AU,-24.8667,113.6333,66.56,61,8,3.65,clear sky
149,Kodiak,US,57.79,-152.4072,56.71,72,1,9.22,clear sky
150,Okhotsk,RU,59.3833,143.3,57.92,93,100,0.98,overcast clouds
151,Dallas,US,32.7668,-96.7836,94.01,59,1,1.01,clear sky
152,Maceio,BR,-9.6658,-35.7353,72.84,88,75,8.05,broken clouds
153,Eyl,SO,7.9803,49.8164,78.71,63,98,22.59,overcast clouds
154,Portage,US,41.1667,-81.1998,74.66,72,1,0.0,clear sky
155,Lac Du Bonnet,CA,50.2536,-96.0612,77.76,50,23,3.09,few clouds
156,Adrar,MR,20.5022,-10.0711,88.39,20,0,8.95,clear sky
157,La Orilla,MX,17.9833,-102.2333,81.25,84,98,4.63,overcast clouds
158,Sernovodsk,RU,43.3117,45.1594,68.99,81,24,0.58,few clouds
159,Inverell,AU,-29.7833,151.1167,58.66,57,97,7.0,overcast clouds
160,Mezen,RU,65.8522,44.24,48.99,76,100,8.79,light rain
161,Moron,AR,-34.6534,-58.6198,55.96,94,0,3.0,clear sky
162,Sinnamary,GF,5.3833,-52.95,77.4,87,100,6.62,overcast clouds
163,Mayya,RU,61.7333,130.2811,76.32,37,0,7.23,clear sky
164,Wanaka,NZ,-44.7,169.15,43.61,95,100,4.52,overcast clouds
165,Mariental,NA,-24.6333,17.9667,49.32,53,52,13.2,broken clouds
