City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Vila,PT,54.73,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
190,Upernavik,GL,42.71,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
195,Port Elizabeth,ZA,54.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
204,Deputatskiy,RU,57.31,overcast clouds,69.3,139.9,Baza Otdykha
205,Cape Town,ZA,57.61,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
215,Urmary,RU,57.18,scattered clouds,55.6789,47.944,Dom Kirilla
217,Kaitangata,NZ,51.93,light rain,-46.2817,169.8464,Kaitangata Motor Camp
218,Bonga,ET,58.42,light rain,7.2833,36.2333,Abelena bare and restorant
222,Rio Gallegos,AR,34.48,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
227,Comodoro Rivadavia,AR,42.66,clear sky,-45.8667,-67.5,Austral Hotel
237,Piet Retief,ZA,33.91,clear sky,-27.0071,30.8132,Arabian Nite Guest House
242,Waipawa,NZ,53.46,light rain,-41.4122,175.5153,Tora Coastal Walk
244,Port Lincoln,AU,59.86,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
252,Dunedin,NZ,51.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
254,Saint-Michel-Des-Saints,CA,59.43,broken clouds,46.6834,-73.9159,Motel Du Mont trinity
258,Aklavik,CA,50.99,overcast clouds,68.2191,-135.0107,Aklavik Inn
260,Berlevag,NO,45.25,overcast clouds,70.8578,29.0864,Kvitbrakka
265,Leningradskiy,RU,39.92,overcast clouds,69.3833,178.4167,Gostinitsa
272,Torbay,CA,56.57,overcast clouds,47.6666,-52.7314,Gallows Cove
278,Vetluzhskiy,RU,54.68,overcast clouds,58.3902,45.4654,Sharya
282,Mehamn,NO,44.74,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
284,Olafsvik,IS,49.5,moderate rain,64.8945,-23.7142,Hotel Olafsvik
287,Lerwick,GB,55.4,scattered clouds,60.1545,-1.1494,The Lerwick Hotel
292,Dalvik,IS,51.46,few clouds,65.9702,-18.5286,Dalvík HI Hostel
297,Kopavogur,IS,47.3,light rain,64.1123,-21.913,"Radisson Blu Saga Hotel, Reykjavik"
300,Sitka,US,54.23,light rain,57.0531,-135.33,Westmark Sitka
301,Aliwal North,ZA,34.5,overcast clouds,-30.6937,26.7114,Queens Terrace B&B
306,Codrington,AU,57.09,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
309,Eldoret,KE,50.81,broken clouds,0.5204,35.2699,Flora Homes
310,Khatanga,RU,59.74,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
317,Brae,GB,55.31,few clouds,60.3964,-1.353,Busta House Hotel
319,Grindavik,IS,47.55,light intensity drizzle rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
335,Talnakh,RU,59.67,overcast clouds,69.4865,88.3972,Talnakh Hotel
342,Huittinen,FI,58.41,scattered clouds,61.1833,22.7,Mommolan Motelli
